Merchant Id,Credit Scores
fff23c80b2468e9402716e56f083ebc8,900
ffcfc98c4fb709f4d0538dd4cb2cb6c7,900
ffac426c00a93cc664beba56214488fb,800
ffa486a4029dee1a46c0ed19bdc4b6b7,900
ff9d9db2e2f29b4954cd979cb56c138a,900
ff744c89c84e7c1f1d11f8bb67a93cfa,700
ff6d1c1eda2df11d3f1779a4099dd1e1,"1,000"
ff63b41c6a2945db83d798e1c7c7dccd,"1,000"
ff5d7aa5cbcae89fe38b489142ebb8b4,"1,000"
ff47549ef37b83a5bc917e3cef1b8285,"1,000"
fefe4f594908f4f350a031bd30bc3964,"1,000"
fef1fe6098409d32a1ad393d0c23cb71,900
feab8b08e17fa6320d1294b8d088e8b4,"1,000"
fea42d70f2e3905853625e0e9762120f,"1,000"
fe86ae01b7a6d432619699d20cf0a42e,900
fe75268bb28b40ef89979d0ec2c54497,900
fe6f98ac6bf6472a1b818e13f3a5eab8,900
fe522d94fcbd8df0fde9aec76315d98c,800
fe306a010a43323151029b86aa232109,"1,000"
fe19bf47eb62faef2a7424502c2a4714,900
fe103355d7f731a557951558ba906d39,900
fdbdddfe8c4df643ec18e5f931bada26,"1,000"
fdb315959b8dfca8e4c785c627e1b003,700
fda3b30f22fc324eb8a011841829987f,"1,000"
fd8a0deb9faa2516fc4fffc1669ac74d,800
fd7b27cb8f482d541add663d421a0b5d,900
fcd6ee20a31612b7f2f886ed16348750,900
fc879743ee2196b59f45973a9173c9f3,"1,000"
fc7bb39f8162e580740d570464b3d85a,900
fc553ba6b67ebc78a208af32a7cbb434,900
fc3c08f91e819e89053549525d17a494,900
fc2092629525b9cd79ba47abd18afcbd,800
fbda11233e3f8a64c6e9897a9b9fcead,900
fbcb037387e821a6b1898467b076c0d5,"1,000"
fbb9dbce16cca463a750afe1f2265cbc,"1,000"
fbac73ac90d57d8f3faedbe9004233b0,900
fb8fb2ff998229aca1a25c0b94b94cc0,"1,000"
fb8414e3fcfb46328a29e71de424f83d,900
fb4234b9ac48b15f6ed278ab80f316d6,"1,000"
fb329817e3ca2132d39134dd26d894b2,"1,000"
fb2e636577105f243646d6f1e199f0ba,900
fae04f45d61589f8efe9752b7cd21ed7,"1,000"
fada60ac427a94ddc93f9554c523f402,"1,000"
fad966a3f8fc7a538c1edd9aa5c22fd5,900
fad274bc3db884fb710ad77263072915,900
fab55811525be3d6e53a950bf168117b,900
faab59d78e0cb9a4432203c827685507,"1,000"
faaa6bf827913a49d4b6b234445d36d2,500
fa9462ba01ad26f19535be3c4c462a5e,900
fa8506ddd389075373813af8893f6130,"1,000"
fa5f2062c449c8f1c9ad8af9125387f9,"1,000"
fa56f3f082f6a6f4142b302dd7ef4f3b,900
fa56be6bd32bfdc8195a4b5feac301a5,900
fa50869f5ffdc06ea233a7177c6b4af0,"1,000"
fa45a0e95dbe32a2a2fad1a5b10683ef,900
fa4008c29cdee27e16c79c7a7e40ecd8,900
fa09a054c7ef07f2e338afb50a028b14,900
f9eb559a923f2ec46c474acd132f5063,900
f9dd94e7acd400658ac4fd2817ea4fef,900
f9dc2d36953dc90367c313fbaf8dc4a3,900
f9d2dca8351ae2b08b2054b85efc73e5,"1,000"
f9ac72d331adc4ee35df9dc97761c61e,"1,000"
f9a7f25376f10e98cf7c33c582d2c3b8,"1,000"
f997fc90f5aec6fda612026c7cf70140,850
f986188dfcc57887d9a0df077bd3361f,500
f97d788a22ab92e3acdeb322f96bb335,"1,000"
f965c065283291a0e230fa53cd94e242,900
f95b650d13cab6926529128529d6b2d5,"1,000"
f951fd61b9b061f666d280064023697b,900
f92cac8407e3b93a85f8346ba9f65481,900
f915833c0979810086c2ea49db2993c6,900
f8ea35135fcf6cb89a9cd3d953d6e24d,900
f8e5c311c5145d64a5fa7895caae64b7,900
f8c5dbe0c7d91d8b9b287d414efa6081,900
f8998ffddfe460748ea7d8922ff0d799,850
f8978aaacfefc9eab2116d2473ec089c,900
f87db57f4e63f5720c522f459fe94e63,900
f878352f90c1abf34f956687f7bd9a7d,600
f85ff120613b5be21dc49bc39b499001,"1,000"
f7f8eb12e0f61a9321597157c0d61791,"1,000"
f7e7f6683b935a693972f5f8f4c8db59,900
f7bc62a37656d71fe8a18d363690db7f,"1,000"
f79f5f6eaaa55f7b4d20005d21793c5e,900
f791a3a538319b4e83663a094604bd4d,900
f75a05a633faf7f830730fb20d60ee0b,900
f723d4c9c970cc206245a988868ed9df,"1,000"
f69ea2e9985146c5b51e08d15494164f,900
f688ae53ecd9ab39288ac465aa4f86d8,900
f67a40a604d98f5ce83b771f6af57d91,"1,000"
f6748c55254285e9dc1e49d2761a2d1d,900
f62fc2d463b533cc7e121a3d5479b9b0,900
f62dcc49aec8c415424dc96713e2b0e9,900
f60244ec97d110c8e60e2eace9617a74,900
f5c317aa2c2a1fd626033cc086a2471a,900
f5bc7b92a3f4181205215465e9d940bb,700
f5abe18064d57c2e5a768504a2041036,900
f53f99355b3cb91a847867503effda5a,800
f53d4fd511bdd50465098e85da23cae4,900
f536c8bd94fdd9ce73262d2e842e4a41,900
f524c12469b1d2e160b47df95456fbda,"1,000"
f511a8cd989cb2cf3996605c054ebf58,"1,000"
f4e0d953a3bdf14765f2e9f13826e4e0,900
f4c9b739126de95687ceecf2ac6637c4,"1,000"
f4acda19aa6efeee72fc13c70afad61b,900
f46113156c0ec1f5a9aba91cf8f8fbe7,"1,000"
f45fa6602838b826f62e4e8552bda5c0,850
f4554276bcf5833ab3dac69401724495,700
f447e50573406e79c4b6540038dfa19a,900
f42fc8f410a1f30b617f57af2be71ff5,"1,000"
f42e1ed36920ace02cbb72470ff29c46,900
f42983f691338e6339a0aac729faa916,"1,000"
f4271742acc08a5da8f3dd4053e38b27,900
f4270981241d67e6251acf2dd3e5f403,900
f41817961bd183e5bd5dc1c2f06cc2ec,"1,000"
f3f250c853d76a841126b4cafae00d50,"1,000"
f3f1f938cea36ad669de5d148cc62302,"1,000"
f3a9efe8fb7c646801db38b6e7837832,800
f37beddd0d23515121b758186cfaa9d2,900
f3717533a90a8ecb1de730050beab052,900
f3536c81acd35bed63c9ba599baede61,900
f32f8883a87958b823310350d9f21a76,"1,000"
f32dc7c5649aa2201c3aa56a6eefee94,750
f32abc0ed64aba2bb8d884ad3b6c85ef,"1,000"
f328115510f74d54d9522a3dd10fa17a,900
f31b41510c8fa0f38ab8d669a66bf249,900
